DOI,Authors,Year,Species,Organism Group,Environment,Life Stage,In vitro/in vivo,Sex,Estimated Body Length (cm),Estimated Maximum Ingestible Size (mm),Experiment Type,Exposure Route,Particle Mix?,Negative Control,Reference Particle,Exposure Media,Solvent,Detergent,pH,Salinity (ppt),Temperature (Avg),Temperature (Min),Temperature (Max),Exposure Duration (days),Recovery (Days),Acute/Chronic,Number of Doses,Replicates,Sample Size,Dosing Frequency,Chemicals Added,Added Chemical Dose (nominal),Added Chemical Dose (measured),Plotted Dose Values,Unaligned Dose Values,Dose Metric,Alignment,Effect,Direction,Broad Endpoint Category,Specific Endpoint Category,Endpoint,Level of Biological Organization,Target Cell or Tissue,Effect Metric,Polymer,Shape,Density (g/cm^3),"Density, reported or estimated",Charge,Zeta Potential (mV),Zeta Potential Media,Functional Group,Particle Length (μm),Particle Width (μm),Size Category,Particle Surface Area (μm^2),Particle Volume (μm^3),Particle Mass (mg),Weathered or Biofouled?,Size Validated?,Polymer Validated?,Shape Validated,Particle Source,Sodium Azide Present?,Screened for Chemical Contamination?,Particle Cleaning?,Solvent Rinse,Background Contamination Monitored?,Concentration Validated?,Particle Behavior,Uptake Validated?,Uptake Validation Method,Tissue Distribution,Organisms Fed?
10.1016/j.envpol.2019.113024,Wang,2019,Oryzias melastigma,Fish,Marine,adult,In Vivo,M,4,2.3794919391134903,Particle Only,water,No,Y,N,seawater,Not Reported,Not Reported,NA,NA,27,NA,NA,60,NA,Chronic,3,3,20,0,Not Reported,0,NA,0.43162003365815516,50.0987,Particles/mL,Volume,Yes,increase,Fitness,Sex Hormones,Leutinizing Hormone Receptor mRNA expression,Subcell,testis,NA,Polystyrene,Sphere,1.07,estimated,NA,NA,NA,NA,10,10,1µm < 100µm,314.1592653589794,523.5987755982989,5.602506898901799e-7,No,N,N,Y,commercial,unknown,N,not_cleaned,none,N,Y,none,Y,dissection h2o2 digestion microscopy,"liver,gills,gut",Yes
10.1016/j.envpol.2019.113024,Wang,2019,Oryzias melastigma,Fish,Marine,adult,In Vivo,M,4,2.3794919391134903,Particle Only,water,No,Y,N,seawater,Not Reported,Not Reported,NA,NA,27,NA,NA,60,NA,Chronic,3,3,20,0,Not Reported,0,NA,0.004985728,0.5787,Particles/mL,Volume,No,Not Reported,Fitness,Sex Hormones,Estrogen Receptor α mRNA expression,Subcell,testis,NA,Polystyrene,Sphere,1.07,estimated,NA,NA,NA,NA,10,10,1µm < 100µm,314.1592653589794,523.5987755982989,5.602506898901799e-7,No,N,N,Y,commercial,unknown,N,not_cleaned,none,N,Y,none,Y,dissection h2o2 digestion microscopy,"liver,gills,gut",Yes
10.1016/j.envpol.2019.113024,Wang,2019,Oryzias melastigma,Fish,Marine,adult,In Vivo,M,4,2.3794919391134903,Particle Only,water,No,Y,N,seawater,Not Reported,Not Reported,NA,NA,27,NA,NA,60,NA,Chronic,3,3,20,0,Not Reported,0,NA,0.047395866,5.5013,Particles/mL,Volume,No,Not Reported,Fitness,Sex Hormones,Estrogen Receptor α mRNA expression,Subcell,testis,NA,Polystyrene,Sphere,1.07,estimated,NA,NA,NA,NA,10,10,1µm < 100µm,314.1592653589794,523.5987755982989,5.602506898901799e-7,No,N,N,Y,commercial,unknown,N,not_cleaned,none,N,Y,none,Y,dissection h2o2 digestion microscopy,"liver,gills,gut",Yes
10.1016/j.envpol.2019.113024,Wang,2019,Oryzias melastigma,Fish,Marine,adult,In Vivo,M,4,2.3794919391134903,Particle Only,water,No,Y,N,seawater,Not Reported,Not Reported,NA,NA,27,NA,NA,60,NA,Chronic,3,3,20,0,Not Reported,0,NA,0.43162003365815516,50.0987,Particles/mL,Volume,No,Not Reported,Fitness,Sex Hormones,Estrogen Receptor α mRNA expression,Subcell,testis,HONEC,Polystyrene,Sphere,1.07,estimated,NA,NA,NA,NA,10,10,1µm < 100µm,314.1592653589794,523.5987755982989,5.602506898901799e-7,No,N,N,Y,commercial,unknown,N,not_cleaned,none,N,Y,none,Y,dissection h2o2 digestion microscopy,"liver,gills,gut",Yes
10.1016/j.envpol.2019.113024,Wang,2019,Oryzias melastigma,Fish,Marine,adult,In Vivo,M,4,2.3794919391134903,Particle Only,water,No,Y,N,seawater,Not Reported,Not Reported,NA,NA,27,NA,NA,60,NA,Chronic,3,3,20,0,Not Reported,0,NA,0.004985728,0.5787,Particles/mL,Volume,No,Not Reported,Fitness,Sex Hormones,Estrogen Receptor β mRNA expression,Subcell,testis,NA,Polystyrene,Sphere,1.07,estimated,NA,NA,NA,NA,10,10,1µm < 100µm,314.1592653589794,523.5987755982989,5.602506898901799e-7,No,N,N,Y,commercial,unknown,N,not_cleaned,none,N,Y,none,Y,dissection h2o2 digestion microscopy,"liver,gills,gut",Yes
10.1016/j.envpol.2019.113024,Wang,2019,Oryzias melastigma,Fish,Marine,adult,In Vivo,M,4,2.3794919391134903,Particle Only,water,No,Y,N,seawater,Not Reported,Not Reported,NA,NA,27,NA,NA,60,NA,Chronic,3,3,20,0,Not Reported,0,NA,0.047395866,5.5013,Particles/mL,Volume,No,Not Reported,Fitness,Sex Hormones,Estrogen Receptor β mRNA expression,Subcell,testis,NA,Polystyrene,Sphere,1.07,estimated,NA,NA,NA,NA,10,10,1µm < 100µm,314.1592653589794,523.5987755982989,5.602506898901799e-7,No,N,N,Y,commercial,unknown,N,not_cleaned,none,N,Y,none,Y,dissection h2o2 digestion microscopy,"liver,gills,gut",Yes
10.1016/j.envpol.2019.113024,Wang,2019,Oryzias melastigma,Fish,Marine,adult,In Vivo,M,4,2.3794919391134903,Particle Only,water,No,Y,N,seawater,Not Reported,Not Reported,NA,NA,27,NA,NA,60,NA,Chronic,3,3,20,0,Not Reported,0,NA,0.43162003365815516,50.0987,Particles/mL,Volume,No,Not Reported,Fitness,Sex Hormones,Estrogen Receptor β mRNA expression,Subcell,testis,HONEC,Polystyrene,Sphere,1.07,estimated,NA,NA,NA,NA,10,10,1µm < 100µm,314.1592653589794,523.5987755982989,5.602506898901799e-7,No,N,N,Y,commercial,unknown,N,not_cleaned,none,N,Y,none,Y,dissection h2o2 digestion microscopy,"liver,gills,gut",Yes
10.1016/j.envpol.2019.113024,Wang,2019,Oryzias melastigma,Fish,Marine,adult,In Vivo,M,4,2.3794919391134903,Particle Only,water,No,Y,N,seawater,Not Reported,Not Reported,NA,NA,27,NA,NA,60,NA,Chronic,3,3,20,0,Not Reported,0,NA,0.004985728,0.5787,Particles/mL,Volume,No,Not Reported,Fitness,Sex Hormones,Androgen Receptor α mRNA expression,Subcell,testis,NA,Polystyrene,Sphere,1.07,estimated,NA,NA,NA,NA,10,10,1µm < 100µm,314.1592653589794,523.5987755982989,5.602506898901799e-7,No,N,N,Y,commercial,unknown,N,not_cleaned,none,N,Y,none,Y,dissection h2o2 digestion microscopy,"liver,gills,gut",Yes
10.1016/j.envpol.2019.113024,Wang,2019,Oryzias melastigma,Fish,Marine,adult,In Vivo,M,4,2.3794919391134903,Particle Only,water,No,Y,N,seawater,Not Reported,Not Reported,NA,NA,27,NA,NA,60,NA,Chronic,3,3,20,0,Not Reported,0,NA,0.047395866,5.5013,Particles/mL,Volume,No,Not Reported,Fitness,Sex Hormones,Androgen Receptor α mRNA expression,Subcell,testis,NOEC,Polystyrene,Sphere,1.07,estimated,NA,NA,NA,NA,10,10,1µm < 100µm,314.1592653589794,523.5987755982989,5.602506898901799e-7,No,N,N,Y,commercial,unknown,N,not_cleaned,none,N,Y,none,Y,dissection h2o2 digestion microscopy,"liver,gills,gut",Yes
10.1016/j.envpol.2019.113024,Wang,2019,Oryzias melastigma,Fish,Marine,adult,In Vivo,M,4,2.3794919391134903,Particle Only,water,No,Y,N,seawater,Not Reported,Not Reported,NA,NA,27,NA,NA,60,NA,Chronic,3,3,20,0,Not Reported,0,NA,0.43162003365815516,50.0987,Particles/mL,Volume,Yes,increase,Fitness,Sex Hormones,Androgen Receptor α mRNA expression,Subcell,testis,LOEC,Polystyrene,Sphere,1.07,estimated,NA,NA,NA,NA,10,10,1µm < 100µm,314.1592653589794,523.5987755982989,5.602506898901799e-7,No,N,N,Y,commercial,unknown,N,not_cleaned,none,N,Y,none,Y,dissection h2o2 digestion microscopy,"liver,gills,gut",Yes
